customer;churnprop;churndate;nps;npsdate;reactscore;reactdate;vip;vipdate
CRM0000001148;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001149;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001150;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001151;1;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001152;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001153;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001154;1;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001155;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001156;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001157;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001158;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001159;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;4;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001160;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001161;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001162;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001163;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001164;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001165;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001166;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001167;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001168;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;1;10/01/2026 10:00:00;0;30/11/2025 12:00:00
CRM0000001169;2;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001170;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;1;10/01/2026 10:00:00;0;30/11/2025 12:00:00
CRM0000001171;1;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001173;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;5;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001174;1;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001175;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001176;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;0;30/11/2025 12:00:00
CRM0000001177;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001178;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001179;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;0;30/11/2025 12:00:00
CRM0000001180;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001181;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001182;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001183;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001184;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001185;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;10;10/01/2026 10:00:00;4;30/11/2025 12:00:00
CRM0000001186;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001187;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001188;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001189;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001190;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001191;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001192;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001193;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001194;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001195;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001196;2;10/01/2026 09:00:00;8;15/12/2025 10:00:00;10;10/01/2026 10:00:00;4;30/11/2025 12:00:00
CRM0000001197;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001198;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001199;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001200;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001201;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001202;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001203;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001204;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001205;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001206;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001207;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;1;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001208;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001209;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001210;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001211;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;3;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001212;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001213;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001214;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001215;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001216;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001217;0;10/01/2026 09:00:00;9;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001218;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001219;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001220;1;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001221;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001222;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001223;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001224;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001225;1;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001226;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;4;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001227;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001228;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001229;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001230;1;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001231;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001232;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001233;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001234;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001235;1;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001236;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001237;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001238;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001239;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001240;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001241;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001242;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001243;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001244;1;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001245;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001246;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001247;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001248;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001249;1;10/01/2026 09:00:00;7;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001250;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001251;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;10;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001252;2;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001253;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001254;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001255;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001256;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001257;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001258;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;4;30/11/2025 12:00:00
CRM0000001259;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001260;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001261;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001262;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001263;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001264;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001265;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001266;1;10/01/2026 09:00:00;6;15/12/2025 10:00:00;3;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001267;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001268;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001269;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001270;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001271;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001272;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001273;0;10/01/2026 09:00:00;9;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001274;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001275;1;10/01/2026 09:00:00;7;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001276;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001277;2;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001278;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001279;1;10/01/2026 09:00:00;7;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001280;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001281;0;10/01/2026 09:00:00;9;15/12/2025 10:00:00;5;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001282;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001283;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001284;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001285;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001286;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001287;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001288;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001289;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001290;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001291;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001292;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001293;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;1;10/01/2026 10:00:00;0;30/11/2025 12:00:00
CRM0000001294;2;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001295;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001296;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001297;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001298;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001299;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001300;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001301;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001302;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001303;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001304;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001305;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001306;2;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001307;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001308;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001309;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
